Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X	ensembl_gene_id	external_gene_name	gene_biotype	description	percentage_gene_gc_content
1423150_at	0.396753703849486	11.8781042919642	5.52782037483595	4.23418754225096e-06	0.00484214565571408	3.98417268813058	8170	ENSMUSG00000023236	Scg5	protein_coding	secretogranin V [Source:MGI Symbol;Acc:MGI:98289]	44.43
1419383_at	0.550258949161266	11.5545658806307	7.01649000630222	5.83616619437934e-08	0.00013237675535894	7.5892572339824	4418	ENSMUSG00000033208	S100b	protein_coding	S100 protein, beta polypeptide, neural [Source:MGI Symbol;Acc:MGI:98217]	47.06
1430538_at	0.42391885426483	11.0038137262762	5.52496579035906	4.26956631585559e-06	0.00484214565571408	3.97706618041038	15684	ENSMUSG00000086316	Nbdy	protein_coding		38.56
1426242_at	0.610359930746563	10.9326116538808	4.79852083485659	3.54181598857583e-05	0.0224940733434451	2.16094802127872	11745	ENSMUSG00000005198	Polr2a	protein_coding	DNA-directed RNA polymerase II subunit RPB1  [Source:UniProtKB/Swiss-Prot;Acc:P08775]	45.41
1426987_at	0.463475744461222	10.7099961252174	4.76469446292515	3.90688262245613e-05	0.0234081240898292	2.07638042363785	12156	ENSMUSG00000074918	Inafm2	protein_coding	InaF motif containing 2 [Source:HGNC Symbol;Acc:HGNC:35165]	55.58
1448321_at	0.801550988400493	10.1203218424668	6.36103636618684	3.77981524933042e-07	0.000666822406902708	6.03183221722836	28064	ENSMUSG00000021136	Smoc1	protein_coding	SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]	45.42
1438785_at	1.15083684119398	10.0978525726372	4.65828844615479	5.31666908773157e-05	0.0293809763341597	1.81062992949525	23499	ENSMUSG00000038173	Enpp6	protein_coding	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6  [Source:UniProtKB/Swiss-Prot;Acc:Q8BGN3]	43.89
1448260_at	1.86149400511498	9.95981621162906	9.7866321595308	3.70853356506259e-11	5.88822416792812e-07	13.426913802821	27973	ENSMUSG00000029223	Uchl1	protein_coding	ubiquitin carboxy-terminal hydrolase L1 [Source:MGI Symbol;Acc:MGI:103149]	48.03
1428584_a_at	0.524253466020959	9.86426075495499	5.52821377582131	4.22933494227373e-06	0.00484214565571408	3.98515202833117	13539	ENSMUSG00000061046	Haghl	protein_coding	Hydroxyacylglutathione hydrolase-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9DB32]	56.29
1415983_at	1.00347858277665	9.76183319827636	4.51155165385798	8.11987148058288e-05	0.0396686952101399	1.44507519608766	644	ENSMUSG00000021998	Lcp1	protein_coding	Plastin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q61233]	42.91
1418148_at	2.23226901873178	9.71502423809245	7.54197360412442	1.34489215058402e-08	3.8824591128905e-05	8.79397257898476	2455	ENSMUSG00000006638	Abhd1	processed_transcript	abhydrolase domain containing 1 [Source:MGI Symbol;Acc:MGI:1931013]	49.56
