ProbeID	CD11b Log2FC	CD11b adjPval	Ensembl ID	Gene Name	GLT1 Log2FC	GLT1 adjPval	Comparison
1418191_at	2.2550172003106	5.61369943752768e-12	ENSMUSG00000030107	Usp18	2.32118648053333	4.17370418196012e-07	R6/2 6wk
1418580_at	2.26615972309761	5.61369943752768e-12	ENSMUSG00000033355	Rtp4	0.92714735226167	0.0105520400229017	R6/2 6wk
1421322_a_at	0.754091681474648	6.15873619181756e-06	ENSMUSG00000002325	Irf9	0.698253184564692	0.0287874427530031	R6/2 6wk
1426278_at	2.04318510675958	5.59546329962145e-08	ENSMUSG00000079017	Ifi27l2a	1.10789123835567	0.046383569428448	R6/2 6wk
1426774_at	0.480474319474594	0.00088693910452084	ENSMUSG00000038507	Parp12	0.368948950296531	0.0111011386122126	R6/2 6wk
1437176_at	1.4834290419976	0.000705364551549426	ENSMUSG00000074151	Nlrc5	1.87343992834267	0.00437926169440491	R6/2 6wk
1443698_at	1.28350395545665	1.22393458011374e-07	ENSMUSG00000040483	Xaf1	0.576329020556852	0.0214651725232214	R6/2 6wk
1445897_s_at	0.372181116140549	0.0159558268930527	ENSMUSG00000010358	Ifi35	1.19973025746297	0.0421621168686894	R6/2 6wk
1450034_at	0.706264665587899	7.36816868493969e-05	ENSMUSG00000026104	Stat1	0.536157730184756	7.62987460603078e-05	R6/2 6wk
1450783_at	2.24102383007735	3.28517695036388e-08	ENSMUSG00000034459	Ifit1	2.38710857941253	3.48254831206208e-05	R6/2 6wk
1453196_a_at	2.420420823296	6.12763852614283e-08	ENSMUSG00000029561	Oasl2	2.5831039015848	6.32830260975001e-05	R6/2 6wk
1416125_at	0.859058877207934	0.00042136004482813	ENSMUSG00000024222	Fkbp5	1.71146899193519	3.94853080892913e-06	R6/2 12wk
1416257_at	-0.465454009292522	0.0357053718273791	ENSMUSG00000026509	Capn2	-0.295455804131629	0.0268532564547192	R6/2 12wk
1416273_at	0.94481856216842	0.00635221044749762	ENSMUSG00000021281	Tnfaip2	-1.28235851581362	0.000339498056201484	R6/2 12wk
1416344_at	0.264237945615271	0.0461912211973879	ENSMUSG00000016534	Lamp2	0.284475578123491	0.000845734841814294	R6/2 12wk
1416511_a_at	-0.440188718591791	0.0240155706529532	ENSMUSG00000041598	Cdc42ep4	-0.469631394905182	0.000101748960235611	R6/2 12wk
1416827_at	-0.456582336804525	0.0356236585807713	ENSMUSG00000029925	Tbxas1	-0.730484987440719	0.000415148018798838	R6/2 12wk
1416897_at	0.66545899654075	9.99685661940951e-05	ENSMUSG00000022906	Parp9	1.32243696966392	2.94905454052627e-08	R6/2 12wk
1416997_a_at	1.34682633196657	4.0085775912141e-05	ENSMUSG00000006930	Hap1	1.02030744345991	3.95862758365707e-05	R6/2 12wk
1417145_at	0.639900444977538	0.0190550132695542	ENSMUSG00000072889	Nfxl1	1.1573931065763	4.62573042112271e-07	R6/2 12wk
1417172_at	1.38226909371189	0.000207636150669098	ENSMUSG00000027078	Ube2l6	0.766347220902441	0.0105082820673848	R6/2 12wk
1417244_a_at	2.48787770993064	5.77848539340327e-14	ENSMUSG00000025498	Irf7	2.19061744011304	6.81967563126835e-08	R6/2 12wk
1417283_at	-0.674408340469888	0.0189350998765421	ENSMUSG00000022594	Lynx1	-0.776257363965426	0.00629205515892788	R6/2 12wk
1417408_at	1.46926579552709	0.0106217655632705	ENSMUSG00000028128	F3	-0.405494208316224	0.00765643092933241	R6/2 12wk
1417636_at	0.913778126230602	0.0237077115525572	ENSMUSG00000028542	Slc6a9	-0.181626478485558	0.0180586212750789	R6/2 12wk
1417644_at	-1.02737253731503	0.00760731709037869	ENSMUSG00000030255	Sspn	-0.518048729589815	0.000519127146813448	R6/2 12wk
1417645_at	-1.00301934885101	0.00160590459755635	ENSMUSG00000030255	Sspn	-0.499132544170445	0.0167157057830725	R6/2 12wk
1417688_at	0.770426576905891	0.0300097873447386	ENSMUSG00000025854	Fam20c	-1.23678052891112	1.56366883766878e-10	R6/2 12wk
